SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2012-0396,Toolik Main,03-Aug-2012,5,1.25,1.40,0.28,0.000,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,754,0.711,.,.,.,.,.,.,.,
2012-0397,Toolik Main,03-Aug-2012,8,2.03,2.38,0.66,0.060,.,0.057,.,.,.,.,.,.,.,.,.,.,.,.,867,0.721,.,.,.,.,.,.,.,
2012-0398,Toolik Main,03-Aug-2012,12,1.10,1.25,0.28,0.603,.,0.062,.,.,.,.,.,.,.,.,.,.,.,.,997,0.727,.,.,.,.,.,.,.,
2012-0399,Toolik Main,03-Aug-2012,16,1.38,1.64,0.50,0.354,.,0.060,.,.,.,.,.,.,.,.,.,.,.,.,1015,0.724,.,.,.,.,.,.,.,
2012-0400,Toolik Main,03-Aug-2012,20,0.89,1.19,0.59,0.679,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,1061,0.746,.,.,.,.,.,.,.,
2012-0394.1,Toolik Main - Dup,03-Aug-2012,1,1.26,1.37,0.20,0.123,.,0.053,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2012-2056,I1,07-Aug-2012,1,1.10,1.28,0.34,0.376,.,0.025,.,.,.,.,.,.,.,.,.,.,.,.,309,0.265,.,.,.,.,.,.,.,
2012-2057,I1,07-Aug-2012,8,2.99,3.37,0.73,0.261,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,429,0.255,.,.,.,.,.,.,.,
2012-2058,I1,07-Aug-2012,9,1.48,1.68,0.39,0.068,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,585,0.268,.,.,.,.,.,.,.,
2012-2059,I2,07-Aug-2012,1,0.94,1.17,0.43,0.542,.,0.074,.,.,.,.,.,.,.,.,.,.,.,.,267,0.202,.,.,.,.,.,.,.,
2012-2060,I2,07-Aug-2012,7,0.78,0.97,0.36,0.602,.,0.044,.,.,.,.,.,.,.,.,.,.,.,.,516,0.214,.,.,.,.,.,.,.,
2012-2061,I2,07-Aug-2012,14,0.51,0.72,0.39,0.963,.,0.055,.,.,.,.,.,.,.,.,.,.,.,.,733,0.235,.,.,.,.,.,.,.,
2012-2062,I3,07-Aug-2012,1,1.77,2.07,0.58,0.432,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,309,0.237,.,.,.,.,.,.,.,
2012-2063,I3,07-Aug-2012,4,1.29,1.59,0.57,0.251,.,0.050,.,.,.,.,.,.,.,.,.,.,.,.,340,0.231,.,.,.,.,.,.,.,
2012-2064,I4,07-Aug-2012,1,2.22,2.73,0.98,0.171,.,0.062,.,.,.,.,.,.,.,.,.,.,.,.,288,0.222,.,.,.,.,.,.,.,
2012-2065,I4,07-Aug-2012,4,1.87,2.35,0.93,0.266,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,285,0.214,.,.,.,.,.,.,.,
2012-2066,I4,07-Aug-2012,6,1.54,2.01,0.90,0.106,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,286,0.204,.,.,.,.,.,.,.,
2012-2067,I5,07-Aug-2012,1,1.24,1.50,0.50,0.321,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,260,0.208,.,.,.,.,.,.,.,
2012-2068,I5,07-Aug-2012,5,1.22,1.50,0.54,0.401,.,0.044,.,.,.,.,.,.,.,.,.,.,.,.,258,0.203,.,.,.,.,.,.,.,
2012-2069,I5,07-Aug-2012,8,0.95,1.25,0.58,0.151,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,505,0.204,.,.,.,.,.,.,.,
2012-2070,I6 Headwaters Lake,07-Aug-2012,1,0.00,0.00,3.09,0.457,.,0.048,.,.,.,.,.,.,.,.,.,.,.,.,1006,0.951,.,.,.,.,.,.,.,
2012-2071,I6 Headwaters Lake,07-Aug-2012,6,0.63,0.81,0.35,0.472,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,1027,0.941,.,.,.,.,.,.,.,
2012-2072,I6 Headwaters Lake,07-Aug-2012,7,0.74,0.88,0.26,0.772,.,0.077,.,.,.,.,.,.,.,.,.,.,.,.,1281,0.957,.,.,.,.,.,.,.,
2012-2082,I Swamp,08-Aug-2012,1,0.50,0.61,0.22,0.246,.,0.062,.,.,.,.,.,.,.,.,.,.,.,.,570,0.445,.,.,.,.,.,.,.,
2012-2083,I Swamp,08-Aug-2012,4,0.50,0.63,0.25,0.111,.,0.056,.,.,.,.,.,.,.,.,.,.,.,.,559,0.413,.,.,.,.,.,.,.,
2012-2073,I6,08-Aug-2012,1,1.28,1.50,0.42,0.131,.,0.059,.,.,.,.,.,.,.,.,.,.,.,.,442,0.389,.,.,.,.,.,.,.,
2012-2074,I6,08-Aug-2012,7,1.55,1.94,0.75,0.111,.,0.046,.,.,.,.,.,.,.,.,.,.,.,.,741,0.416,.,.,.,.,.,.,.,
2012-2075,I6,08-Aug-2012,12,1.05,1.37,0.62,0.712,.,0.065,.,.,.,.,.,.,.,.,.,.,.,.,904,0.427,.,.,.,.,.,.,.,
2012-2076,I7,08-Aug-2012,1,1.35,1.55,0.39,0.076,.,0.060,.,.,.,.,.,.,.,.,.,.,.,.,490,0.435,.,.,.,.,.,.,.,
2012-2077,I7,08-Aug-2012,6,1.87,2.23,0.70,0.326,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,758,0.512,.,.,.,.,.,.,.,
2012-2078,I7,08-Aug-2012,10,2.18,2.77,1.14,2.035,.,0.054,.,.,.,.,.,.,.,.,.,.,.,.,1168,0.627,.,.,.,.,.,.,.,
2012-2079,I8,08-Aug-2012,1,1.58,1.78,0.37,0.126,.,0.076,.,.,.,.,.,.,.,.,.,.,.,.,837,0.776,.,.,.,.,.,.,.,
2012-2080,I8,08-Aug-2012,5,1.49,1.65,0.30,0.301,.,0.067,.,.,.,.,.,.,.,.,.,.,.,.,800,0.736,.,.,.,.,.,.,.,
2012-2081,I8,08-Aug-2012,7,1.50,1.66,0.31,0.141,.,0.113,.,.,.,.,.,.,.,.,.,.,.,.,805,0.742,.,.,.,.,.,.,.,
2012-0437,Toolik Main,10-Aug-2012,0,1.23,1.45,0.42,0.135,.,0.049,.,.,.,.,.,.,.,.,.,.,.,.,786,0.743,.,.,.,.,.,.,.,
2012-0438,Toolik Main,10-Aug-2012,1,1.19,1.41,0.41,0.100,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,785,0.742,.,.,.,.,.,.,.,
2012-0439,Toolik Main,10-Aug-2012,3,0.00,0.00,3.52,0.155,.,0.053,.,.,.,.,.,.,.,.,.,.,.,.,781,0.738,.,.,.,.,.,.,.,
2012-0440,Toolik Main,10-Aug-2012,5,1.30,1.54,0.47,0.076,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,796,0.747,.,.,.,.,.,.,.,
2012-0441,Toolik Main,10-Aug-2012,8,1.29,1.55,0.50,0.132,.,0.061,.,.,.,.,.,.,.,.,.,.,.,.,829,0.731,.,.,.,.,.,.,.,
2012-0442,Toolik Main,10-Aug-2012,12,1.27,1.62,0.68,0.309,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,933,0.721,.,.,.,.,.,.,.,
2012-0443,Toolik Main,10-Aug-2012,16,0.58,0.90,0.61,0.871,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,992,0.744,.,.,.,.,.,.,.,
2012-0444,Toolik Main,10-Aug-2012,19,0.52,0.82,0.58,0.964,.,0.061,.,.,.,.,.,.,.,.,.,.,.,.,1022,0.752,.,.,.,.,.,.,.,
2012-0438.1,Toolik Main - Dup,10-Aug-2012,1,0.00,0.00,0.00,0.139,.,0.060,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2012-0447,E5,13-Aug-2012,0.01,4.97,5.65,1.31,0.300,.,0.064,.,.,.,.,.,.,.,.,.,.,.,.,150,0.103,.,.,.,.,.,.,.,
2012-0448,E5,13-Aug-2012,1,5.07,5.92,1.62,0.169,.,0.071,.,.,.,.,.,.,.,.,.,.,.,.,138,0.101,.,.,.,.,.,.,.,
2012-0449,E5,13-Aug-2012,3,4.73,5.62,1.71,0.121,.,0.065,.,.,.,.,.,.,.,.,.,.,.,.,149,0.101,.,.,.,.,.,.,.,
2012-0450,E5,13-Aug-2012,5,3.93,4.82,1.71,0.359,.,0.069,.,.,.,.,.,.,.,.,.,.,.,.,269,0.103,.,.,.,.,.,.,.,
2012-0451,E5,13-Aug-2012,8,3.09,3.76,1.27,0.139,.,0.063,.,.,.,.,.,.,.,.,.,.,.,.,559,0.119,.,.,.,.,.,.,.,
2012-0452,E5,13-Aug-2012,10,1.90,2.59,1.31,0.187,.,0.082,.,.,.,.,.,.,.,.,.,.,.,.,606,0.131,.,.,.,.,.,.,.,
2012-0453,E6,13-Aug-2012,0.01,3.25,3.82,1.09,0.184,.,0.072,.,.,.,.,.,.,.,.,.,.,.,.,173,0.109,.,.,.,.,.,.,.,
2012-0454,E6,13-Aug-2012,1,3.29,3.62,0.63,0.138,.,0.067,.,.,.,.,.,.,.,.,.,.,.,.,160,0.102,.,.,.,.,.,.,.,
2012-0455,E6,13-Aug-2012,2,3.27,3.76,0.94,0.210,.,0.092,.,.,.,.,.,.,.,.,.,.,.,.,175,0.111,.,.,.,.,.,.,.,
2012-0458,Toolik Main,17-Aug-2012,0,0.88,1.47,1.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,822,0.757,.,.,.,.,.,.,.,
2012-0459,Toolik Main,17-Aug-2012,1,0.73,1.47,1.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,820,0.752,.,.,.,.,.,.,.,
2012-0460,Toolik Main,17-Aug-2012,3,0.68,1.43,1.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,825,0.754,.,.,.,.,.,.,.,
2012-0461,Toolik Main,17-Aug-2012,5,0.74,1.51,1.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,818,0.750,.,.,.,.,.,.,.,
2012-0462,Toolik Main,17-Aug-2012,8,0.73,1.40,1.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,796,0.741,.,.,.,.,.,.,.,
2012-0463,Toolik Main,17-Aug-2012,12,0.37,0.92,1.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,890,0.730,.,.,.,.,.,.,.,
2012-0464,Toolik Main,17-Aug-2012,16,0.30,0.77,0.89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,845,0.741,.,.,.,.,.,.,.,
2012-0465,Toolik Main,17-Aug-2012,19,0.31,0.74,0.82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,929,0.738,.,.,.,.,.,.,.,
2012-2190,Toolik Main,25-Aug-2012,0,1.45,1.58,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,842,0.765,.,.,.,.,.,.,.,
2012-2191,Toolik Main,25-Aug-2012,1,1.43,1.52,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,840,0.765,.,.,.,.,.,.,.,
2012-2192,Toolik Main,25-Aug-2012,3,1.42,1.48,0.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,834,0.761,.,.,.,.,.,.,.,
2012-2193,Toolik Main,25-Aug-2012,5,1.44,1.57,0.26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,836,0.766,.,.,.,.,.,.,.,
2012-2194,Toolik Main,25-Aug-2012,8,1.38,1.51,0.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,821,0.752,.,.,.,.,.,.,.,
2012-2195,Toolik Main,25-Aug-2012,12,1.04,1.19,0.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,845,0.750,.,.,.,.,.,.,.,
2012-2196,Toolik Main,25-Aug-2012,16,0.58,0.75,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1259,0.743,.,.,.,.,.,.,.,
2012-2197,Toolik Main,25-Aug-2012,19,0.62,0.80,0.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1326,0.744,.,.,.,.,.,.,.,
2012-2198,Toolik Main,31-Aug-2012,0,1.46,1.63,0.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,837,0.771,.,.,.,.,.,.,.,
2012-2199,Toolik Main,31-Aug-2012,1,1.46,1.64,0.34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,825,0.768,.,.,.,.,.,.,.,
2012-2200,Toolik Main,31-Aug-2012,3,1.50,1.67,0.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,819,0.763,.,.,.,.,.,.,.,
2012-2201,Toolik Main,31-Aug-2012,5,1.49,1.66,0.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,824,0.768,.,.,.,.,.,.,.,
2012-2202,Toolik Main,31-Aug-2012,8,1.35,1.51,0.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,829,0.771,.,.,.,.,.,.,.,
2012-2203,Toolik Main,31-Aug-2012,12,1.26,1.44,0.35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,819,0.758,.,.,.,.,.,.,.,
2012-2204,Toolik Main,31-Aug-2012,16,0.94,1.10,0.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1177,0.754,.,.,.,.,.,.,.,
2012-2205,Toolik Main,31-Aug-2012,19,0.61,0.74,0.25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1228,0.744,.,.,.,.,.,.,.,
2012-2206,Toolik Main,07-Sep-2012,0,1.60,1.77,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,992,0.783,.,.,.,.,.,.,.,
2012-2207,Toolik Main,07-Sep-2012,1,1.53,1.74,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,959,0.785,.,.,.,.,.,.,.,
2012-2208,Toolik Main,07-Sep-2012,3,1.47,1.67,0.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,941,0.780,.,.,.,.,.,.,.,
2012-2209,Toolik Main,07-Sep-2012,5,1.67,1.90,0.44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,944,0.782,.,.,.,.,.,.,.,
2012-2210,Toolik Main,07-Sep-2012,8,1.48,1.68,0.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,938,0.783,.,.,.,.,.,.,.,
2012-2211,Toolik Main,07-Sep-2012,12,1.59,1.80,0.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,928,0.780,.,.,.,.,.,.,.,
2012-2212,Toolik Main,07-Sep-2012,16,1.21,1.30,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,936,0.787,.,.,.,.,.,.,.,
2012-2213,Toolik Main,07-Sep-2012,19,1.46,1.67,0.39,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1229,0.767,.,.,.,.,.,.,.,
2013-0111,Toolik Main,14-Jun-2013,0,0.23,0.26,0.05,0.277,.,0.054,0.200,.,.,.,0.055,.,.,30.9,2.21,240.35,20.01,.,890,0.046,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL. Sampled thru ice 1.1m thick
2013-0112,Toolik Main,14-Jun-2013,1,0.23,0.23,0.01,0.387,.,0.050,0.605,.,.,.,0.100,.,.,34.8,2.49,251.00,20.90,.,152,0.139,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0113,Toolik Main,14-Jun-2013,3,0.58,0.61,0.06,0.536,.,0.087,1.660,.,.,.,0.294,.,.,63.9,4.57,487.69,40.60,.,583,0.525,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0114,Toolik Main,14-Jun-2013,5,0.44,0.47,0.06,0.221,.,0.051,3.659,.,.,.,0.063,.,.,28.5,2.04,209.16,17.41,.,1076,0.943,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0115,Toolik Main,14-Jun-2013,8,0.17,0.19,0.05,0.214,.,0.064,4.287,.,.,.,0.028,.,.,22.9,1.63,176.79,14.72,.,1140,0.984,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0116,Toolik Main,14-Jun-2013,12,0.12,0.15,0.05,0.245,.,0.157,4.866,.,.,.,0.134,.,.,20.5,1.46,153.54,12.78,.,1181,0.989,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0117,Toolik Main,14-Jun-2013,16,0.07,0.12,0.10,0.196,.,0.079,5.584,.,.,.,0.100,.,.,22.2,1.58,180.76,15.05,.,.,.,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0118,Toolik Main,14-Jun-2013,19,0.07,0.16,0.16,0.426,.,0.086,7.029,.,.,.,0.055,.,.,33.0,2.36,275.71,22.96,.,.,.,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-0112.1,Toolik Main - Dup,14-Jun-2013,1,0.33,0.34,0.00,0.505,.,0.046,0.483,.,.,.,0.103,.,.,33.4,2.38,235.99,19.65,.,.,.,.,.,.,.,.,.,.,Sampled thru ice 1.1m thick
2013-2000,N1,19-Jun-2013,0,0.43,0.47,0.08,1.079,.,0.046,0.172,.,.,.,0.122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Particulate Carbon and Nitrogen samples lost
2013-2001,N1,19-Jun-2013,1,0.63,0.68,0.10,1.373,.,0.050,0.066,.,.,.,0.163,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Particulate Carbon and Nitrogen samples lost
2013-2002,N1,19-Jun-2013,3,2.08,2.16,0.15,1.438,.,0.054,2.249,.,.,.,0.047,.,.,94.3,6.74,352.23,29.33,.,.,.,.,.,.,.,.,.,.,
2013-2003,N1,19-Jun-2013,5,2.06,2.28,0.41,1.630,.,0.072,2.509,.,.,.,0.031,.,.,96.2,6.87,353.95,29.47,.,.,.,.,.,.,.,.,.,.,
2013-2004,N1,19-Jun-2013,8,2.03,2.10,0.14,10.550,.,0.076,2.455,.,.,.,0.033,.,.,101.4,7.24,457.77,38.11,.,.,.,.,.,.,.,.,.,.,
2013-2006,N2 Fert,19-Jun-2013,0,0.53,0.58,0.10,0.285,.,0.108,0.270,.,.,.,0.162,.,.,65.0,4.64,298.77,24.88,.,.,.,.,.,.,.,.,.,.,
2013-2007,N2 Fert,19-Jun-2013,1,0.74,0.78,0.09,0.476,.,0.062,0.470,.,.,.,0.190,.,.,64.3,4.59,267.58,22.28,.,.,.,.,.,.,.,.,.,.,
2013-2008,N2 Fert,19-Jun-2013,3,1.42,1.59,0.32,0.724,.,0.069,0.992,.,.,.,0.135,.,.,84.0,6.00,418.63,34.85,.,.,.,.,.,.,.,.,.,.,
2013-2009,N2 Fert,19-Jun-2013,5,3.14,3.52,0.73,0.934,.,0.072,2.184,.,.,.,0.041,.,.,92.8,6.63,547.46,45.58,.,.,.,.,.,.,.,.,.,.,
2013-2010,N2 Fert,19-Jun-2013,8,1.81,2.06,0.48,0.971,.,0.053,2.617,.,.,.,0.107,.,.,68.9,4.92,302.80,25.21,.,.,.,.,.,.,.,.,.,.,
2013-0153,Toolik Main,21-Jun-2013,0,0.69,0.73,0.08,0.088,.,0.040,0.887,.,.,.,0.140,.,.,41.3,2.95,310.87,25.88,.,432,0.339,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0154,Toolik Main,21-Jun-2013,1,0.77,0.80,0.06,0.273,.,0.061,0.902,.,.,.,0.138,.,.,44.1,3.15,337.81,28.13,.,434,0.342,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0155,Toolik Main,21-Jun-2013,3,0.76,0.79,0.06,0.088,.,0.058,0.926,.,.,.,0.160,.,.,49.7,3.55,355.38,29.59,.,451,0.354,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0156,Toolik Main,21-Jun-2013,5,0.56,0.60,0.08,0.140,.,0.066,1.536,.,.,.,0.114,.,.,39.0,2.78,299.79,24.96,.,628,0.487,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0157,Toolik Main,21-Jun-2013,8,0.66,0.71,0.09,0.203,.,0.075,1.846,.,.,.,0.099,.,.,46.0,3.28,340.31,28.33,.,740,0.573,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0158,Toolik Main,21-Jun-2013,10,0.80,0.85,0.10,0.145,.,0.072,2.096,.,.,.,0.125,.,.,43.9,3.13,333.41,27.76,.,745,0.580,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0154.1,Toolik Main - Dup,21-Jun-2013,1,0.83,0.86,0.07,0.092,.,0.075,0.831,.,.,.,0.128,.,.,47.4,3.38,360.68,30.03,.,.,.,.,.,.,.,.,.,.,Sampled near Inlet; surrounded by candle Ice
2013-0164,E5,24-Jun-2013,0,5.93,6.27,0.64,0.210,.,0.101,0.481,.,.,.,0.126,0.275,8.52,102.7,7.33,758.53,63.15,.,227,0.094,.,.,.,.,.,.,.,
2013-0165,E5,24-Jun-2013,1,5.79,6.10,0.59,0.213,.,0.106,0.438,.,.,.,0.174,0.034,1.04,106.0,7.57,800.27,66.63,.,252,0.100,.,.,.,.,.,.,.,
2013-0166,E5,24-Jun-2013,3,5.26,5.60,0.66,0.232,.,0.116,0.595,.,.,.,0.182,0.412,12.75,116.7,8.33,973.42,81.05,.,247,0.094,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2013-0167,E5,24-Jun-2013,5,5.65,6.00,0.66,0.172,.,0.092,0.457,.,.,.,0.150,0.365,11.29,102.3,7.30,803.96,66.94,.,250,0.095,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2013-0168,E5,24-Jun-2013,8,4.69,5.00,0.59,0.246,.,0.095,0.524,.,.,.,0.171,0.285,8.82,99.4,7.10,799.48,66.56,.,254,0.095,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2013-0169,E5,24-Jun-2013,10,4.11,4.43,0.62,0.241,.,0.104,0.694,.,.,.,0.159,0.255,7.91,85.5,6.10,699.96,58.28,.,273,0.099,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2013-0170,E6,24-Jun-2013,0,3.84,4.20,0.68,0.214,.,0.103,0.031,.,.,.,0.164,0.289,8.95,117.9,8.42,1079.13,89.85,.,144,0.104,.,.,.,.,.,.,.,
2013-0171,E6,24-Jun-2013,1,3.53,3.93,0.76,0.154,.,0.100,0.003,.,.,.,0.167,0.235,7.28,118.3,8.45,1092.94,91.00,.,150,0.103,.,.,.,.,.,.,.,
2013-0172,E6,24-Jun-2013,2,5.10,5.76,1.26,0.112,.,0.117,0.063,.,.,.,0.213,0.309,9.57,135.0,9.64,1262.89,105.15,.,256,0.111,.,.,.,.,.,.,.,
2013-2024,Fog 1,26-Jun-2013,0,1.24,1.32,0.15,0.146,.,0.020,0.254,.,.,.,0.032,.,.,111.8,7.98,323.18,26.91,.,.,.,.,.,.,.,.,.,.,
2013-2025,Fog 1,26-Jun-2013,1,1.10,1.17,0.13,0.243,.,0.066,0.200,.,.,.,0.092,.,.,109.4,7.81,308.74,25.71,.,.,.,.,.,.,.,.,.,.,
2013-2026,Fog 1,26-Jun-2013,3,2.15,2.32,0.33,0.143,.,0.067,0.169,.,.,.,0.110,.,.,135.7,9.68,510.84,42.53,.,.,.,.,.,.,.,.,.,.,
2013-2027,Fog 1,26-Jun-2013,5,2.36,2.50,0.26,0.121,.,0.072,0.132,.,.,.,0.090,.,.,161.1,11.51,486.64,40.52,.,.,.,.,.,.,.,.,.,.,
2013-2028,Fog 1,26-Jun-2013,8,2.58,2.88,0.57,0.118,.,0.070,0.034,.,.,.,0.075,.,.,142.6,10.18,302.41,25.18,.,.,.,.,.,.,.,.,.,.,
2013-2029,Fog 1,26-Jun-2013,12,2.67,3.04,0.70,0.098,.,0.085,0.080,.,.,.,0.077,.,.,272.0,19.42,382.74,31.87,.,.,.,.,.,.,.,.,.,.,
2013-2030,Fog 1,26-Jun-2013,16,2.03,2.28,0.48,0.183,.,0.085,0.775,.,.,.,.,.,.,178.1,12.72,411.31,34.25,.,.,.,.,.,.,.,.,.,.,
2013-2031,Fog 2,26-Jun-2013,0,0.85,0.94,0.18,0.243,.,0.086,0.700,.,.,.,0.033,.,.,35.8,2.55,290.84,24.21,.,.,.,.,.,.,.,.,.,.,
2013-2032,Fog 2,26-Jun-2013,1,0.83,0.97,0.26,0.160,.,0.078,0.038,.,.,.,0.083,.,.,38.4,2.74,295.47,24.60,.,.,.,.,.,.,.,.,.,.,
2013-2033,Fog 2,26-Jun-2013,3,0.85,0.98,0.26,0.082,.,0.081,0.041,.,.,.,0.101,.,.,39.4,2.82,312.90,26.05,.,.,.,.,.,.,.,.,.,.,
2013-2034,Fog 2,26-Jun-2013,5,3.14,3.70,1.07,0.174,.,0.089,0.018,.,.,.,0.090,.,.,60.7,4.33,405.47,33.76,.,.,.,.,.,.,.,.,.,.,
2013-2035,Fog 2,26-Jun-2013,8,3.18,3.72,1.03,0.212,.,0.090,0.100,.,.,.,0.084,.,.,60.4,4.31,407.91,33.96,.,.,.,.,.,.,.,.,.,.,
2013-2036,Fog 2,26-Jun-2013,12,3.44,4.00,1.07,0.310,.,0.105,0.694,.,.,.,0.117,.,.,63.2,4.51,431.07,35.89,.,.,.,.,.,.,.,.,.,.,
2013-2037,Fog 2,26-Jun-2013,16,1.86,2.27,0.78,6.432,.,0.110,1.058,.,.,.,0.066,.,.,74.7,5.33,470.86,39.20,.,.,.,.,.,.,.,.,.,.,
2013-2038,Fog 4,26-Jun-2013,0,1.86,2.28,0.79,0.314,.,0.096,0.019,.,.,.,0.154,.,.,75.3,5.38,580.39,48.32,.,.,.,.,.,.,.,.,.,.,
2013-2039,Fog 4,26-Jun-2013,1,2.53,2.94,0.78,0.386,.,0.097,0.081,.,.,.,0.157,.,.,79.9,5.70,611.45,50.91,.,.,.,.,.,.,.,.,.,.,
2013-2040,Fog 4,26-Jun-2013,3,10.05,11.40,2.58,0.710,.,0.098,0.289,.,.,.,0.183,.,.,143.9,10.28,994.66,82.81,.,.,.,.,.,.,.,.,.,.,
2013-0200,Toolik Main,28-Jun-2013,0,1.63,1.73,0.18,0.155,.,0.073,1.318,.,.,.,0.062,.,.,42.9,3.07,298.15,24.82,.,725,0.615,.,.,.,.,.,.,.,
2013-0201,Toolik Main,28-Jun-2013,1,1.52,1.62,0.19,0.157,.,0.059,1.268,.,.,.,0.075,.,.,44.3,3.16,309.81,25.79,.,732,0.610,.,.,.,.,.,.,.,
2013-0202,Toolik Main,28-Jun-2013,3,1.86,1.97,0.20,0.114,.,0.065,2.008,.,.,.,0.105,.,.,54.2,3.87,351.15,29.24,.,757,0.621,.,.,.,.,.,.,.,
2013-0203,Toolik Main,28-Jun-2013,5,1.43,1.55,0.23,0.093,.,0.066,1.388,.,.,.,0.079,.,.,48.3,3.45,321.14,26.74,.,816,0.659,.,.,.,.,.,.,.,
2013-0204,Toolik Main,28-Jun-2013,8,1.38,1.50,0.22,0.094,.,0.084,2.709,.,.,.,0.085,.,.,42.8,3.05,293.67,24.45,.,846,0.673,.,.,.,.,.,.,.,
2013-0205,Toolik Main,28-Jun-2013,12,0.89,1.00,0.22,0.071,.,0.072,3.599,.,.,.,0.064,.,.,42.9,3.07,284.94,23.72,.,982,0.772,.,.,.,.,.,.,.,
