SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
2012-2044,I6 Headwater Lake,10-Jul-12,6,6,19:03,6.6,7.63,94.20,7.15,75.8,7.53,.,0.06,5.95,30,.,.,4.5,
,I6 Headwater Lake,10-Jul-12,7,6.95,19:05,6.6,7.03,95.10,6.95,50.7,5.11,.,0.11,10.49,45,.,.,4.5,
,I Swamp,11-Jul-12,0,0.04,.,.,16.28,55.20,7.52,100.1,8.15,.,0.01,0.79,1067,.,.,5,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
,I Swamp,11-Jul-12,0.5,0.48,16:59,7,16.11,55.30,7.46,100.1,8.18,.,0.01,0.82,993,.,.,5,
2012-2054,I Swamp,11-Jul-12,1,1.03,17:00,7,15.46,56.50,7.35,98.4,8.15,.,0.01,0.87,470,.,.,5,
,I Swamp,11-Jul-12,2,2.01,17:02,7,14.72,55.70,7.29,96.3,8.11,.,0.02,1.52,90,.,.,5,
,I Swamp,11-Jul-12,3,2.99,17:03,7,14.06,55.70,7.25,93.9,8.02,.,0.02,1.64,143,.,.,5,
2012-2055,I Swamp,11-Jul-12,4,3.96,17:05,7,12.43,43.80,7.04,85.3,7.56,.,0.04,3.95,101,.,.,5,Metalimnion sample taken from this depth
,I Swamp,11-Jul-12,5,4.97,17:07,6.9,11.19,41.70,6.79,64.8,5.91,.,0.07,6.49,66,.,.,5,
,I6,11-Jul-12,0,0.02,12:15,7.2,15.26,39.40,7.56,99.4,8.28,.,0.01,0.82,726,.,.,5.2,
,I6,11-Jul-12,0.5,0.51,12:16,7.2,15.25,39.40,7.53,99.1,8.25,.,0.01,0.79,568,.,.,5.2,
2012-2045,I6,11-Jul-12,1,1.01,12:19,7.2,15.25,39.70,7.53,99.4,8.28,.,0.02,1.07,417,.,.,5.2,
,I6,11-Jul-12,2,2.01,12:21,7.2,15.2,39.40,7.54,99.3,8.27,.,0.02,1.24,220,.,.,5.2,
,I6,11-Jul-12,3,3.02,12:22,7.2,15.12,39.70,7.54,98.9,8.25,.,0.02,1.53,100,.,.,5.2,
,I6,11-Jul-12,4,4.01,12:23,7.1,13.53,40.40,7.34,98.5,8.52,.,0.03,2.20,78,.,.,5.2,
2012-2046,I6,11-Jul-12,5,5,12:26,7.1,8.54,41.30,6.98,91.5,8.88,.,0.04,3.56,50,.,.,5.2,Metalimnion sample taken from this depth
,I6,11-Jul-12,6,6.02,12:30,7.1,6.76,42.10,6.84,80.1,8.13,.,0.05,4.58,33,.,.,5.2,
,I6,11-Jul-12,7,7.03,12:32,7.1,6.05,42.90,6.78,72.9,7.53,.,0.05,4.69,25,.,.,5.2,
,I6,11-Jul-12,8,8.03,12:33,7.1,5.69,43.80,6.76,69.1,7.2,.,0.07,6.70,21,.,.,5.2,
,I6,11-Jul-12,9,8.99,12:34,7.1,5.46,44.30,6.73,65.9,6.91,.,0.06,6.22,18,.,.,5.2,
,I6,11-Jul-12,10,10,12:36,7.1,5.29,44.50,6.64,63.3,6.67,.,0.06,5.66,17,.,.,5.2,
,I6,11-Jul-12,11,11.03,12:39,7.1,5.17,44.60,6.67,61.4,6.49,.,0.06,5.25,16,.,.,5.2,
2012-2047,I6,11-Jul-12,12,12.05,12:41,7.1,5.12,44.90,6.68,59.4,6.29,.,0.05,4.51,,.,.,5.2,
,I6,11-Jul-12,13,12.98,12:43,7.1,5.1,44.60,6.66,57.6,6.1,.,0.05,5.06,,.,.,5.2,
,I7,11-Jul-12,0.2,0.21,13:45,7.1,15.54,41.40,7.56,98.7,8.17,.,0.01,0.78,886,.,.,5.1,
,I7,11-Jul-12,0.5,0.49,13:48,7,15.55,41.50,7.54,99.1,8.2,.,0.01,0.87,698,.,.,5.1,
2012-2048,I7,11-Jul-12,1,0.99,13:49,7,15.44,41.80,7.57,98.3,8.15,.,0.01,0.88,439,.,.,5.1,
,I7,11-Jul-12,2,2.02,13:52,7,15.3,41.60,7.56,98.4,8.19,.,0.02,1.09,322,.,.,5.1,
,I7,11-Jul-12,3,3.03,13:53,7,15.09,41.60,7.51,97.6,8.15,.,0.02,1.65,226,.,.,5.1,
2012-2049,I7,11-Jul-12,4,4,13:55,7,10.7,43.40,7.13,103.3,9.53,.,0.03,2.68,101,.,.,5.1,Metalimnion sample taken from this depth
,I7,11-Jul-12,5,4.98,13:57,7,7.69,49.60,6.94,78.7,7.81,.,0.05,4.63,64,.,.,5.1,
,I7,11-Jul-12,6,6.03,13:59,7,6.32,58.00,6.8,57.5,5.91,.,0.13,13.38,41,.,.,5.1,
,I7,11-Jul-12,7,7.02,14:00,7,5.53,63.50,6.76,43.5,4.55,.,0.18,18.48,27,.,.,5.1,
,I7,11-Jul-12,8,8,14:01,7,5.3,64.70,6.76,38.1,4.01,.,0.15,14.87,20,.,.,5.1,
,I7,11-Jul-12,9,8.98,14:03,7,5.23,65.00,6.74,36.3,3.83,.,0.13,13.40,18,.,.,5.1,
2012-2050,I7,11-Jul-12,10,10.01,14:05,7,5.19,65.10,6.74,35.5,3.75,.,0.10,9.95,16,.,.,5.1,
,I7,11-Jul-12,11,11.01,14:06,7,5.16,65.40,6.74,34.7,3.67,.,0.11,10.97,,.,.,5.1,
,I7,11-Jul-12,12,12.01,14:07,7,5.12,66.40,6.73,33.2,3.51,.,0.10,9.55,,.,.,5.1,
,I8,11-Jul-12,0,0.04,15:48,7.1,14.19,75.50,7.82,99.9,8.51,.,0.02,1.87,1073,.,.,3.2,
,I8,11-Jul-12,0.5,0.49,15:51,7,14.64,76.40,7.89,101.4,8.55,.,0.02,1.68,915,.,.,3.2,
2012-2051,I8,11-Jul-12,1,0.98,15:53,7,14.21,76.00,7.83,100.3,8.54,.,0.02,2.00,323,.,.,3.2,
,I8,11-Jul-12,2,2.01,15:55,7,13.7,75.10,7.69,98.1,8.45,.,0.03,2.72,263,.,.,3.2,
2012-2052,I8,11-Jul-12,3,3.01,15:55,7,13.01,74.10,7.63,96.5,8.45,.,0.05,4.55,113,.,.,3.2,Metalimnion sample taken from this depth
,I8,11-Jul-12,4,4,15:58,7,12.72,73.20,7.52,93.3,8.21,.,0.05,5.16,56,.,.,3.2,
,I8,11-Jul-12,5,4.99,15:59,7,12.35,72.50,7.43,90.3,8.02,.,0.06,5.66,33,.,.,3.2,
,I8,11-Jul-12,6,6.03,16:02,7,9.64,66.60,6.94,60.7,5.75,.,0.08,8.10,21,.,.,3.2,
2012-2053,I8,11-Jul-12,7,7,16:04,7,8.17,65.10,6.84,51.6,5.06,.,0.06,6.09,17,.,.,3.2,
,I8,11-Jul-12,8,7.99,16:05,7,7.96,65.60,6.84,48.9,4.82,.,0.07,6.35,15,.,.,3.2,
2012-0270,Toolik,13-Jul-12,0,0.02,12:42,7.6,16.31,81.00,7.88,102.7,8.36,.,0.01,0.95,473,.,.,5.5,
,Toolik,13-Jul-12,0.5,0.51,12:43,7.5,16.31,80.50,7.87,102.9,8.37,.,0.01,1.00,297,.,.,5.5,
2012-0271,Toolik,13-Jul-12,1,1.01,12:45,7.5,16.29,80.80,7.87,102.7,8.36,.,0.02,1.16,212,.,.,5.5,
,Toolik,13-Jul-12,2,2.02,12:47,7.5,16.22,80.80,7.89,102.9,8.39,.,0.02,1.37,121,.,.,5.5,
2012-0272,Toolik,13-Jul-12,3,2.97,12:48,7.5,15.56,80.30,7.9,103.2,8.53,.,0.02,1.66,90,.,.,5.5,
,Toolik,13-Jul-12,4,4.02,12:50,7.4,15.34,80.40,7.89,102.8,8.54,.,0.02,1.77,58,.,.,5.5,
2012-0273,Toolik,13-Jul-12,5,5.01,12:51,7.4,14.96,80.70,7.84,102.2,8.56,.,0.02,1.94,43,.,.,5.5,
,Toolik,13-Jul-12,6,6.01,12:54,7.4,9.73,79.40,7.4,96.3,9.09,.,0.05,4.19,33,.,.,5.5,
,Toolik,13-Jul-12,7,7.01,12:55,7.4,8.25,80.00,7.32,92.4,9.04,.,0.06,5.96,25,.,.,5.5,
2012-0274,Toolik,13-Jul-12,8,7.99,12:58,7.4,7.21,79.60,7.29,89.1,8.94,.,0.07,7.33,21,.,.,5.5,
,Toolik,13-Jul-12,9,8.99,13:01,7.3,6.58,79.40,7.19,83.1,8.48,.,0.08,7.98,19,.,.,5.5,
,Toolik,13-Jul-12,10,9.99,13:03,7.3,6.24,80.00,7.18,81.2,8.36,.,0.08,7.92,17,.,.,5.5,
,Toolik,13-Jul-12,11,11.03,13:06,7.3,5.97,80.10,7.2,80.9,8.38,.,0.10,10.28,16,.,.,5.5,
2012-0275,Toolik,13-Jul-12,12,11.99,13:07,7.3,5.84,80.30,7.19,79.8,8.29,.,0.09,9.24,16,.,.,5.5,
,Toolik,13-Jul-12,13,12.97,13:09,7.3,5.5,81.20,7.15,76.1,7.97,.,0.06,6.04,15,.,.,5.5,
,Toolik,13-Jul-12,14,14.03,13:10,7.3,5.3,81.60,7.14,75.2,7.92,.,0.04,3.96,,,.,5.5,
,Toolik,13-Jul-12,15,14.98,13:11,7.3,5.2,81.90,7.12,73.4,7.76,.,0.04,3.76,,,.,5.5,
2012-0276,Toolik,13-Jul-12,16,15.98,13:13,7.3,5.03,81.90,7.1,72.5,7.69,.,0.03,3.00,,,.,5.5,
,Toolik,13-Jul-12,17,17.02,13:15,7.3,5.03,82.20,7.09,72.2,7.65,.,0.03,2.89,,,.,5.5,
,Toolik,13-Jul-12,18,18,13:16,7.2,4.96,82.40,7.08,71.6,7.61,.,0.03,2.15,,,.,5.5,
2012-0277,Toolik,13-Jul-12,19,19.03,13:18,7.2,4.88,82.60,7.08,70.6,7.52,.,0.02,2.06,,,.,5.5,
2012-0280,E5,16-Jul-12,0.01,0.01,12:37,7.3,15.5,13.80,6.78,99.1,8.2,.,0.08,7.57,90,.,.,1.8,
,E5,16-Jul-12,0.5,0.5,12:40,7.3,15.49,13.80,6.93,99.1,8.21,.,0.08,7.39,36,.,.,1.8,
2012-0281,E5,16-Jul-12,1,1.02,12:41,7.2,15.51,13.80,6.93,99.2,8.22,.,0.08,7.81,41,.,.,1.8,
,E5,16-Jul-12,2,2.01,12:42,7.2,15.5,13.80,6.94,99.1,8.2,.,0.09,8.38,17,.,.,1.8,
2012-0282,E5,16-Jul-12,3,2.99,12:44,7.2,14.53,13.90,6.7,95.4,8.07,.,0.09,8.77,16,.,.,1.8,
,E5,16-Jul-12,4,4.01,12:46,7.2,9.97,14.50,6.27,76.2,7.15,.,0.10,9.91,13,.,.,1.8,
2012-0283,E5,16-Jul-12,5,5.01,12:51,7.1,7.65,14.50,6.15,65,6.46,.,0.09,9.19,12,.,.,1.8,
,E5,16-Jul-12,6,6.04,12:54,7.1,6.63,14.60,6.1,57.5,5.86,.,0.07,7.07,10,.,.,1.8,
,E5,16-Jul-12,7,6.98,12:56,7.1,6.19,14.60,6.09,53.3,5.49,.,0.07,6.29,,.,.,1.8,
2012-0284,E5,16-Jul-12,8,8.01,12:57,7.1,5.9,14.80,6.08,49.5,5.13,.,0.06,5.23,,.,.,1.8,
,E5,16-Jul-12,9,9.03,12:58,7.1,5.75,15.00,6.08,46.7,4.87,.,0.05,5.18,,.,.,1.8,
2012-0285,E5,16-Jul-12,10,10.04,12:59,7.1,5.68,15.10,6.07,44.8,4.68,.,0.05,5.20,,.,.,1.8,
,E5,16-Jul-12,11,11.03,13:00,7.1,5.59,15.30,6.07,42.3,4.43,.,0.06,5.33,,.,.,1.8,
2012-0286,E6,16-Jul-12,0.01,0.03,15:05,7.1,15.71,15.00,6.75,96.8,7.98,.,0.04,3.17,107,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
,E6,16-Jul-12,0.5,0.53,15:06,7,15.72,14.30,6.81,96.9,7.99,.,0.05,4.27,95,.,.,.,.
2012-0287,E6,16-Jul-12,1,1.02,15:07,7,15.72,14.30,6.81,96.9,7.98,.,0.05,4.39,90,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
2012-0288,E6,16-Jul-12,2,1.98,15:10,7,15.71,14.20,6.81,97.1,8,.,0.05,4.48,73,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
2012-2143,Fog 1,18-Jul-12,0,0.05,16:25,7.1,13.62,136.80,8.28,99.1,8.55,.,0.01,0.60,.,.,.,6.5,
,Fog 1,18-Jul-12,0.5,0.52,16:26,7,13.64,105.30,8.28,99.3,8.57,.,0.01,0.75,.,.,.,6.5,
2012-2144,Fog 1,18-Jul-12,1,1.04,16:27,7,13.64,105.20,8.27,99.4,8.57,.,0.01,0.92,.,.,.,6.5,
,Fog 1,18-Jul-12,2,2.02,16:28,7,13.64,105.00,8.28,99.4,8.57,.,0.01,1.02,.,.,.,6.5,
2012-2145,Fog 1,18-Jul-12,3,2.97,16:30,7,13.64,105.20,8.29,99.5,8.58,.,0.02,1.14,.,.,.,6.5,
,Fog 1,18-Jul-12,4,4.02,16:31,7,13.63,105.30,8.29,99.4,8.58,.,0.02,1.19,.,.,.,6.5,
2012-2146,Fog 1,18-Jul-12,5,4.98,16:32,7,11.37,109.60,8.01,106.5,9.68,.,0.03,2.11,.,.,.,6.5,
,Fog 1,18-Jul-12,6,5.97,16:32,6.9,7.9,116.50,7.93,104.7,10.33,.,0.03,2.34,.,.,.,6.5,
,Fog 1,18-Jul-12,7,7.02,16:33,6.9,7.12,122.10,7.9,102.7,10.33,.,0.03,2.61,.,.,.,6.5,
2012-2147,Fog 1,18-Jul-12,8,7.98,-,6.9,6.1,133.00,7.84,99.6,10.27,.,0.04,4.10,.,.,.,6.5,
,Fog 1,18-Jul-12,9,8.99,16:35,6.9,5.45,136.60,7.78,93.8,9.85,.,0.05,4.34,.,.,.,6.5,
,Fog 1,18-Jul-12,10,10.01,16:36,6.9,4.92,139.40,7.66,85.6,9.11,.,0.06,5.37,.,.,.,6.5,
,Fog 1,18-Jul-12,11,11.01,16:37,6.9,4.67,140.40,7.54,72.8,7.79,.,0.07,6.55,.,.,.,6.5,
2012-2148,Fog 1,18-Jul-12,12,11.99,16:38,6.9,4.3,141.70,7.41,58.4,6.31,.,0.07,7.35,.,.,.,6.5,
,Fog 1,18-Jul-12,13,12.99,16:39,6.9,4.22,142.30,7.38,50.7,5.49,.,0.09,8.70,.,.,.,6.5,
,Fog 1,18-Jul-12,14,13.98,16:40,6.9,3.83,144.10,7.29,39.4,4.31,.,0.11,11.06,.,.,.,6.5,
,Fog 1,18-Jul-12,15,15.02,.,.,3.71,145.10,7.26,31.5,3.43,.,0.10,10.07,.,.,.,6.5,
2012-2149,Fog 1,18-Jul-12,16,16.01,.,.,3.68,145.20,7.25,28,3.07,.,0.11,9.79,.,.,.,6.5,
2012-2150,Fog 2,18-Jul-12,0,0.02,13:11,7.4,13.68,139.70,8.24,99.2,8.54,.,0.01,0.38,.,.,.,10,
,Fog 2,18-Jul-12,0.5,0.49,13:15,7.3,13.67,107.50,8.24,99.3,8.56,.,0.01,0.47,.,.,.,10,
2012-2151,Fog 2,18-Jul-12,1,1.01,13:17,7.3,13.68,107.60,8.27,99.5,8.57,.,0.01,0.72,.,.,.,10,
,Fog 2,18-Jul-12,2,1.97,13:19,7.3,13.67,107.80,8.41,99.6,8.58,.,0.01,0.74,.,.,.,10,
2012-2152,Fog 2,18-Jul-12,3,3.01,13:21,7.3,13.67,107.80,8.31,99,8.53,.,0.01,0.82,.,.,.,10,
,Fog 2,18-Jul-12,4,3.99,13:30,7.3,13.65,107.50,8.27,99.5,8.58,.,0.01,0.76,.,.,.,10,
2012-2153,Fog 2,18-Jul-12,5,4.99,13:32,7.2,13.42,107.90,8.22,101.6,8.81,.,0.01,0.94,.,.,.,10,
,Fog 2,18-Jul-12,6,5.99,-,7.2,9.93,112.50,7.91,109.3,10.39,.,0.01,0.98,.,.,.,10,
,Fog 2,18-Jul-12,7,6.98,13:43,7.2,8.51,115.50,7.89,106.2,10.32,.,0.02,1.37,.,.,.,10,
2012-2154,Fog 2,18-Jul-12,8,8,13:45,7.2,7.29,121.60,7.9,105.2,10.54,.,0.02,2.38,.,.,.,10,
,Fog 2,18-Jul-12,9,8.99,13:45,7.2,6.33,126.70,7.76,98.1,10.07,.,0.03,2.19,.,.,.,10,
,Fog 2,18-Jul-12,10,9.99,13:47,7.2,5.85,129.60,7.64,85.9,8.92,.,0.04,4.13,.,.,.,10,
,Fog 2,18-Jul-12,11,11.02,13:52,7.2,5.38,131.70,7.51,70.7,7.43,.,0.05,4.76,.,.,.,10,
2012-2155,Fog 2,18-Jul-12,12,12.01,13:53,7.2,5.04,133.30,7.47,62.8,6.66,.,0.06,5.73,.,.,.,10,
,Fog 2,18-Jul-12,13,13.01,13:54,7.2,4.84,133.80,7.4,55.3,5.9,.,0.07,6.62,.,.,.,10,
,Fog 2,18-Jul-12,14,14,13:56,7.2,4.75,133.80,7.36,52.2,5.58,.,0.06,6.19,.,.,.,10,
,Fog 2,18-Jul-12,15,14.97,13:58,7.2,4.68,134.00,7.36,49.8,5.33,.,0.06,5.71,.,.,.,10,
2012-2156,Fog 2,18-Jul-12,16,15.97,14:01,7.2,4.53,135.10,7.39,46.1,4.95,.,0.05,4.50,.,.,.,10,
,Fog 2,18-Jul-12,17,17,14:03,7.1,4.48,135.20,7.41,44.1,4.75,.,0.04,3.59,.,.,.,10,
2012-2157,Fog 4,18-Jul-12,0,0.02,15:02,7.1,13.33,97.40,7.45,89.8,7.8,.,0.08,7.47,.,.,.,1.8,
,Fog 4,18-Jul-12,0.5,0.48,15:05,7.1,13.34,75.60,7.61,90.4,7.85,.,0.08,8.14,.,.,.,1.8,
2012-2158,Fog 4,18-Jul-12,1,1,15:07,7.1,13.34,75.30,7.62,90.1,7.83,.,0.08,8.21,.,.,.,1.8,
,Fog 4,18-Jul-12,2,2.02,15:08,7,13.22,75.40,7.64,89.6,7.8,.,0.11,11.27,.,.,.,1.8,
2012-2159,Fog 4,18-Jul-12,3,3,15:10,7,12.99,76.20,7.57,87.1,7.62,.,0.12,12.12,.,.,.,1.8,
,Fog 4,18-Jul-12,4,4,15:12,7,10.07,145.40,7.06,2.9,0.28,.,1.25,132.14,.,.,.,1.8,
2012-2176,S11,19-Jul-12,0,0.01,13:29,7.4,13.86,192.10,8.22,101,8.67,.,0.01,0.98,.,.,.,6.35,
,S11,19-Jul-12,0.5,0.51,.,.,13.82,150.20,8.21,100.8,8.66,.,0.01,0.97,.,.,.,6.35,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
2012-2177,S11,19-Jul-12,1,1.01,13:32,7.4,13.72,149.30,8.22,100.8,8.68,.,0.02,1.09,.,.,.,6.35,
,S11,19-Jul-12,2,2.01,13:33,7.4,13.61,149.70,8.22,100.6,8.68,.,0.02,1.43,.,.,.,6.35,
2012-2178,S11,19-Jul-12,3,3,13:36,7.4,13.55,151.50,8.21,100.9,8.72,.,0.02,1.51,.,.,.,6.35,
,S11,19-Jul-12,4,3.97,13:38,7.3,10.06,259.70,7.85,98.8,9.25,.,0.04,3.38,.,.,.,6.35,
2012-2179,S11,19-Jul-12,5,4.99,13:40,7.3,7.58,261.30,7.76,78.1,7.77,.,0.04,4.11,.,.,.,6.35,
,S11,19-Jul-12,6,6.02,13:41,7.3,6.17,267.80,7.64,60.3,6.21,.,0.06,5.54,.,.,.,6.35,
,S11,19-Jul-12,7,6.99,13:43,7.3,5.17,332.20,7.46,19.7,2.09,.,0.08,7.62,.,.,.,6.35,
2012-2180,S11,19-Jul-12,8,7.99,13:46,7.3,4.7,332.50,7.36,1.9,0.2,.,0.11,11.21,.,.,.,6.35,
,S11,19-Jul-12,9,8.98,13:47,7.3,4.1,337.80,7.41,0.1,0.01,.,0.12,12.37,.,.,.,6.35,
2012-2181,S11,19-Jul-12,10,10.02,13:48,7.3,3.87,340.60,7.41,0,0,.,0.09,8.92,.,.,.,6.35,
2012-2182,S6,19-Jul-12,0,0.09,15:32,7.2,14.26,203.70,8.49,105.3,8.96,.,0.01,0.88,.,.,.,5.5,
,S6,19-Jul-12,0.5,0.54,15:33,7.1,14.27,159.20,8.49,105.6,8.98,.,0.01,1.08,.,.,.,5.5,
2012-2183,S6,19-Jul-12,1,1.05,15:35,7.1,14.28,159.10,8.47,106,9.01,.,0.02,1.11,.,.,.,5.5,
,S6,19-Jul-12,2,1.97,.,.,14.26,159.00,8.48,105,9.02,.,0.02,1.27,.,.,.,5.5,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
2012-2184,S6,19-Jul-12,3,3.04,15:37,7.1,13.81,160.50,8.46,105.6,9.07,.,0.03,2.27,.,.,.,5.5,
,S6,19-Jul-12,4,4.07,15:38,7.1,13.54,166.80,8.4,107.5,9.29,.,0.03,2.11,.,.,.,5.5,
2012-2185,S6,19-Jul-12,5,5.05,15:40,7.1,10.4,258.40,8.16,180.2,16.73,.,0.04,3.76,.,.,.,5.5,These DO values very high (>150% sat). The benthos of S6 often displays supersaturation of DO.
2012-2186,S6,19-Jul-12,6,6,15:41,7.1,9.44,261.40,8.19,181,17.19,.,0.14,4.24,.,.,.,5.5,"These DO values very high (>150% sat). The benthos of S6 often displays supersaturation of DO. For Sample 2012-2186, from S6 on 19Jul2012, sample was taken at 6m. Accidentally entered as 7m, so i changed. The profile for S6 on 19Jul2012 ends at 6m. A entry with no data was entered for 7m due to a mistake. I removed the 7m entry."
2012-2187,S7,19-Jul-12,0,0.02,14:49,7.2,12.38,234.10,8.23,98.6,8.74,.,0.01,0.93,.,.,.,>Xm,"X = 3.2, Secchi hit bottom at 3.2m"
,S7,19-Jul-12,0.5,0.51,14:50,7.2,12.38,183.40,8.24,98.6,8.75,.,0.01,0.96,.,.,.,.,.
2012-2188,S7,19-Jul-12,1,1.01,14:52,7.2,11.81,184.00,8.19,98,8.8,.,0.02,1.18,.,.,.,>Xm,"X = 3.2, Secchi hit bottom at 3.2m"
2012-2189,S7,19-Jul-12,2,2,14:54,7.2,10.04,180.40,8.02,97.1,9.1,.,0.02,1.32,.,.,.,>Xm,"X = 3.2, Secchi hit bottom at 3.2m"
,S7,19-Jul-12,3,3.02,14:57,7.2,9.33,177.10,7.96,97.8,9.32,.,0.02,1.53,.,.,.,.,.
2012-0307,Toolik,20-Jul-12,0,0,12:36,7.1,14.02,79.20,7.95,98.8,8.45,.,0.02,1.34,,,.,4.5,
,Toolik,20-Jul-12,0.5,0.48,12:37,7.1,14.02,60.40,7.94,98.7,8.44,.,0.02,1.53,,,.,4.5,
2012-0308,Toolik,20-Jul-12,1,1,12:38,7.1,14.01,60.40,7.94,98.5,8.43,.,0.02,1.67,,,.,4.5,
,Toolik,20-Jul-12,2,2.02,12:39,7.1,14,60.50,7.94,98.9,8.46,.,0.02,1.88,,,.,4.5,
2012-0309,Toolik,20-Jul-12,3,2.99,12:40,7,13.87,59.90,7.93,99,8.49,.,0.02,1.85,,,.,4.5,
,Toolik,20-Jul-12,4,4.02,12:41,7,13.2,59.00,7.78,97.7,8.51,.,0.03,2.49,,,.,4.5,
2012-0310,Toolik,20-Jul-12,5,5,12:43,7,12.91,59.10,7.73,97.1,8.51,.,0.03,2.63,,,.,4.5,
,Toolik,20-Jul-12,6,5.99,12:45,7,12.15,59.00,7.6,96.3,8.59,.,0.04,3.52,,,.,4.5,
,Toolik,20-Jul-12,7,7.02,12:47,7,8.85,60.10,7.45,92.8,8.95,.,0.05,4.95,,,.,4.5,
2012-0311,Toolik,20-Jul-12,8,7.99,12:49,7,7.6,60.50,7.37,88.1,8.75,.,0.06,5.66,,,.,4.5,
,Toolik,20-Jul-12,9,9.01,12:50,7,6.86,61.00,7.32,83.9,8.5,.,0.06,5.86,,,.,4.5,
,Toolik,20-Jul-12,10,9.99,12:51,7,6.23,61.20,7.28,80.4,8.27,.,0.06,5.29,,,.,4.5,
,Toolik,20-Jul-12,11,11.02,12:53,6.9,5.86,61.70,7.24,76.3,7.93,.,0.05,4.99,,,.,4.5,
2012-0312,Toolik,20-Jul-12,12,12.01,12:54,6.9,5.53,61.60,7.22,74,7.76,.,0.04,3.52,,,.,4.5,
,Toolik,20-Jul-12,13,13,12:57,6.9,5.45,61.80,7.16,73,7.67,.,0.04,3.56,,,.,4.5,
,Toolik,20-Jul-12,14,13.98,.,.,5.4,61.70,7.17,72.5,7.64,.,0.04,3.23,,,.,4.5,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
,Toolik,20-Jul-12,15,15,13:12,6.9,5.18,62.00,7.18,71.2,7.52,.,0.03,2.75,,,.,4.5,
2012-0313,Toolik,20-Jul-12,16,16.01,13:14,6.9,5.1,62.30,7.17,70.1,7.43,.,0.03,2.16,,,.,4.5,
,Toolik,20-Jul-12,17,17,13:15,6.9,5.04,62.20,7.17,69.2,7.34,.,0.03,2.06,,,.,4.5,
,Toolik,20-Jul-12,18,18.01,13:16,6.9,5,62.40,7.15,68.6,7.28,.,0.02,1.97,,,.,4.5,
2012-0314,Toolik,20-Jul-12,19,19,13:17,6.9,4.99,62.30,7.15,68.2,7.25,.,0.02,1.90,,,.,4.5,
,Dimple Lake,23-Jul-12,0,0.03,16:14,7.2,16.33,18.70,6.81,101.6,9.12,.,0.03,2.52,1105,.,.,1.75,
,Dimple Lake,23-Jul-12,0.5,0.52,16:17,7.1,16.3,17.30,6.84,102.5,9.18,.,0.03,2.79,546,.,.,1.75,
2012-2168,Dimple Lake,23-Jul-12,1,1.01,16:19,7.1,14.98,16.20,6.76,99.3,9.15,.,0.04,3.63,309,.,.,1.75,
,Dimple Lake,23-Jul-12,2,2.01,16:21,7.1,13.52,15.60,6.65,93.6,8.91,.,0.04,3.41,80,.,.,1.75,
,Dimple Lake,23-Jul-12,3,3.01,16:23,7.1,10.46,13.50,5.83,36.7,3.74,.,0.03,3.18,49,.,.,1.75,
2012-2169,Dimple Lake,23-Jul-12,4,4.02,.,.,6.53,14.90,5.77,16.2,1.8,.,0.03,2.60,29,.,.,1.75,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
,Dimple Lake,23-Jul-12,5,4.99,16:26,7.1,5.36,27.20,6.11,0.4,0.05,.,0.03,2.60,26,.,.,1.75,
,Dimple Lake,23-Jul-12,6,6,16:33,7,4.62,54.70,6.65,0.3,0.04,.,0.03,2.66,,.,.,1.75,
,Dimple Lake,23-Jul-12,7,6.99,16:35,7,4.42,67.40,6.88,0.2,0.03,.,0.03,2.74,,.,.,1.75,
,Horn Lake,23-Jul-12,0,0.02,17:40,7.1,16.45,24.30,7.01,109.7,9.79,.,0.03,2.40,424,.,.,1.5,
,Horn Lake,23-Jul-12,0.5,0.54,17:42,7.1,16.42,22.50,7.06,109.5,9.78,.,0.03,2.66,129,.,.,1.5,
2012-2172,Horn Lake,23-Jul-12,1,0.99,17:44,7.1,16.39,21.90,7.06,109.6,9.79,.,0.03,2.72,90,.,.,1.5,
,Horn Lake,23-Jul-12,2,1.98,17:45,7.1,14.72,20.70,6.92,103.2,9.56,.,0.04,3.87,48,.,.,1.5,
,Horn Lake,23-Jul-12,3,2.99,.,.,12.61,20.80,6.76,97.3,9.42,.,0.03,3.08,23,.,.,1.5,
,Horn Lake,23-Jul-12,4,4.02,17:48,7.1,11.82,23.50,6.34,76.3,7.54,.,0.03,2.31,12,.,.,1.5,
2012-2173,Horn Lake,23-Jul-12,5,5.04,17:49,7.1,5.83,146.30,6.91,0.6,0.07,.,0.04,3.31,,.,.,1.5,
,Perched Lake,23-Jul-12,0,0.02,12:44,7.3,15.44,51.60,8.02,109.2,9.96,.,0.01,0.81,287,.,.,1.5,
,Perched Lake,23-Jul-12,0.5,0.51,12:46,7.2,15.41,49.60,8.02,109.1,9.96,.,0.01,1.01,154,.,.,1.5,
