SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2005-0188,Toolik Main,17-Jun-2005,3,2.24,.,0.21,0.074,.,0.069,0.433,12.028,15.617,.,0.065,4.514,0.15,50.27,3.59,388.60,32.35,.,.,.,9.69,3.77,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0189,Toolik Main,17-Jun-2005,5,2.69,.,0.12,0.086,.,0.049,0.405,12.597,16.873,.,0.054,4.243,0.14,59.90,4.28,462.47,38.50,.,.,.,9.83,5.47,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0190,Toolik Main,17-Jun-2005,8,1.77,.,0.30,0.072,.,0.052,0.589,12.910,16.271,.,0.066,12.313,0.40,47.08,3.36,381.44,31.76,.,.,.,9.92,3.39,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0191,Toolik Main,17-Jun-2005,12,1.45,.,0.34,0.080,.,0.042,0.902,12.534,15.895,.,0.051,5.207,0.17,45.44,3.24,339.00,28.22,.,.,.,9.85,3.53,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Toolik Main,17-Jun-2005,16,1.15,.,0.31,0.135,.,0.048,1.028,12.675,15.696,.,0.098,2.313,0.07,47.08,3.36,364.96,30.39,.,.,.,9.76,4.84,.,.,.,.,.,
,Toolik Main,17-Jun-2005,19,1.26,.,0.30,0.120,.,0.049,1.255,12.865,14.955,.,0.053,3.436,0.11,42.32,3.02,352.96,29.39,.,.,.,9.65,3.61,.,.,.,.,.,
,Toolik Main - Dup,17-Jun-2005,8,,,,.,.,.,.,.,.,.,.,.,.,29.28,2.09,255.72,21.29,.,.,.,.,.,.,.,.,.,.,
,S6,20-Jun-2005,0.01,1.31,.,0.04,0.337,.,0.016,1.101,12.278,15.148,.,0.050,.,.,40.20,2.87,320.07,26.65,.,.,.,.,.,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,S6,20-Jun-2005,1,1.15,.,0.08,0.383,.,0.021,1.254,10.628,14.143,.,0.041,.,.,49.23,3.51,419.00,34.88,.,.,.,62.80,5.78,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,S6,20-Jun-2005,3,1.15,.,0.08,0.338,.,0.025,1.046,11.174,15.431,.,0.055,.,.,59.63,4.26,442.07,36.81,.,.,.,62.61,3.86,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,S6,20-Jun-2005,5,1.44,.,0.12,0.321,.,0.039,0.676,9.604,15.099,.,0.057,.,.,76.97,5.49,611.83,50.94,.,.,.,63.24,4.12,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,S6 - Dup,20-Jun-2005,5,.,.,.,.,.,.,.,.,.,.,0.054,.,.,,,,,.,.,.,63.18,3.60,.,.,.,.,.,
,S7,20-Jun-2005,0,1.16,.,0.14,0.241,.,0.053,1.345,9.374,12.641,.,0.051,.,.,45.76,3.27,414.36,34.50,.,.,.,83.10,3.24,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,S7,20-Jun-2005,1,1.11,.,0.14,0.243,.,0.057,1.353,10.310,13.400,.,0.038,.,.,43.28,3.09,365.36,30.42,.,.,.,82.64,3.19,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,S7,20-Jun-2005,2,1.13,.,0.11,0.246,.,0.032,1.310,10.646,14.150,.,0.039,.,.,49.08,3.50,412.32,34.33,.,.,.,82.89,2.82,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,0,0.54,.,0.00,0.000,.,0.013,5.571,9.816,11.737,.,0.058,1.357,0.04,26.90,1.92,258.90,21.56,.,.,.,45.56,5.03,.,.,.,.,.,NH4  below detection limit; depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,1,0.61,.,0.00,0.067,.,0.031,0.578,9.954,11.827,.,0.019,4.050,0.13,26.23,1.87,261.57,21.78,.,.,.,45.34,4.84,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,3,0.52,.,0.01,0.000,.,0.020,0.445,12.398,15.896,.,0.040,2.633,0.08,49.00,3.50,389.93,32.46,.,.,.,45.42,5.30,.,.,.,.,.,NH4  below detection limit; depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,5,0.54,.,0.00,0.078,.,0.027,0.488,10.064,12.132,.,0.003,2.136,0.07,28.97,2.07,266.83,22.22,.,.,.,45.35,4.82,.,.,.,.,.,Pheo below detection limit; depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,8,0.56,.,0.02,0.026,.,0.008,0.538,9.327,11.988,.,0.038,2.906,0.09,37.27,2.66,300.27,25.00,.,.,.,45.37,4.88,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,12,1.61,.,0.10,0.000,.,0.031,0.179,11.469,14.177,.,0.048,3.929,0.13,37.93,2.71,311.30,25.92,.,.,.,55.82,5.53,.,.,.,.,.,NH4  below detection limit; depth for Nuts rounded to nearest whole number
,Fog 2,22-Jun-2005,16,1.64,.,0.34,0.580,.,0.015,0.282,12.056,15.307,.,0.044,3.260,0.11,45.53,3.25,372.37,31.00,.,.,.,55.01,5.94,.,.,.,.,.,
,Fog 4,22-Jun-2005,0.01,4.35,.,0.63,0.085,.,0.031,0.245,18.697,28.393,.,0.129,10.563,0.34,135.80,9.70,1146.68,95.47,.,.,.,35.40,5.96,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Fog 4,22-Jun-2005,1,6.01,.,0.75,0.192,.,0.061,0.533,18.822,29.993,.,0.139,11.408,0.37,156.48,11.17,1228.32,102.27,.,.,.,34.05,6.11,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Fog 4,22-Jun-2005,3,5.29,.,1.01,0.025,.,0.033,0.513,18.362,28.190,.,0.137,10.528,0.34,137.65,9.83,1109.20,92.35,.,.,.,34.47,5.68,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Fog 4 - Dup,22-Jun-2005,3,,,,.,.,.,.,16.930,.,.,.,.,.,,,,,.,.,.,.,.,.,.,.,.,.,
,N1,24-Jun-2005,0.01,1.02,.,0.09,0.135,.,0.045,0.190,16.777,20.175,.,0.072,4.812,0.16,47.60,3.40,380.37,31.67,.,.,.,16.27,6.75,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,N1,24-Jun-2005,1,1.00,.,0.16,0.000,.,0.061,0.123,12.758,16.354,.,0.075,4.438,0.14,50.37,3.60,401.77,33.45,.,.,.,16.18,3.25,.,.,.,.,.,NH4  below detection limit; depth for Nuts rounded to nearest whole number
,N1,24-Jun-2005,3,1.09,.,0.14,0.000,.,0.072,0.121,13.198,16.922,.,0.060,5.287,0.17,52.16,3.72,418.64,34.85,.,.,.,16.23,4.35,.,.,.,.,.,NH4  below detection limit
,N1,24-Jun-2005,5,1.59,.,0.01,0.079,.,0.094,0.123,12.010,15.734,.,0.049,3.929,0.13,52.16,3.72,406.24,33.82,.,.,.,16.20,3.15,.,.,.,.,.,
,N1,24-Jun-2005,8,9.43,.,1.22,0.022,.,0.068,0.217,8.718,14.512,.,0.091,10.162,0.33,81.16,5.79,557.72,46.43,.,.,.,17.19,3.32,.,.,.,.,.,
,N1,24-Jun-2005,12,1.70,.,0.80,0.367,.,0.050,0.218,13.548,17.923,.,0.079,9.221,0.30,61.28,4.38,470.00,39.13,.,.,.,18.24,3.64,.,.,.,.,.,
2005-0232,Toolik Main,24-Jun-2005,0,1.69,.,0.12,0.377,.,0.028,0.297,12.911,15.476,.,0.050,3.361,0.11,35.93,2.57,327.70,27.28,.,.,.,9.86,4.13,.,.,.,.,.,
2005-0233,Toolik Main,24-Jun-2005,1,1.64,.,0.00,0.105,.,0.038,0.213,11.991,15.333,.,0.060,5.011,0.16,46.80,3.34,389.07,32.39,.,.,.,10.00,3.69,.,.,.,.,.,Pheo below detection limit; depth for Nuts rounded to nearest whole number
2005-0234,Toolik Main,24-Jun-2005,3,2.36,.,0.00,0.035,.,0.030,0.206,12.767,16.205,.,0.000,7.272,0.23,48.17,3.44,374.93,31.22,.,.,.,9.86,3.68,.,.,.,.,.,"TDP, Pheo below detection limit; depth for Nuts rounded to nearest whole number"
2005-0235,Toolik Main,24-Jun-2005,5,2.40,.,0.03,0.157,.,0.050,0.237,12.298,15.299,.,0.053,6.873,0.22,42.03,3.00,355.03,29.56,.,.,.,9.97,4.12,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0236,Toolik Main,24-Jun-2005,8,2.01,.,0.10,0.010,.,0.038,0.336,11.710,14.906,.,0.064,11.552,0.37,44.77,3.20,350.23,29.16,.,.,.,9.97,3.33,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0237,Toolik Main,24-Jun-2005,12,1.04,.,0.27,0.125,.,0.037,0.708,12.004,14.667,.,0.047,11.477,0.37,37.30,2.66,296.53,24.69,.,.,.,9.87,6.05,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Toolik Main,24-Jun-2005,16,0.97,.,0.40,0.216,.,0.044,0.939,11.665,14.474,.,0.000,1.123,0.04,39.33,2.81,281.43,23.43,.,.,.,9.90,3.32,.,.,.,.,.,TDP below detection limit; depth for Nuts rounded to nearest whole number
2005-0239,E5,27-Jun-2005,0,0.79,.,0.20,0.107,.,0.031,0.351,12.408,16.076,.,0.118,8.852,0.29,51.38,3.67,374.67,31.19,.,.,.,2.62,4.72,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0240,E5,27-Jun-2005,1,0.69,.,0.22,0.069,.,0.023,0.130,13.226,17.351,.,0.112,3.299,0.11,57.78,4.13,390.31,32.50,.,.,.,2.63,3.83,.,.,.,.,.,
2005-0241,E5,27-Jun-2005,3,1.31,.,0.31,0.134,.,0.032,0.325,11.526,16.305,.,0.109,6.266,0.20,66.93,4.78,460.00,38.30,.,.,.,2.50,5.45,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0242,E5,27-Jun-2005,5,2.25,.,1.10,0.126,.,0.031,0.177,13.037,18.473,.,0.110,7.680,0.25,76.13,5.44,497.42,41.41,.,.,.,2.68,3.65,.,.,.,.,.,
2005-0243,E5,27-Jun-2005,8,1.88,.,1.99,0.183,.,0.031,0.186,11.813,16.658,.,0.126,9.559,0.31,67.87,4.85,519.47,43.25,.,.,.,2.91,4.60,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0244,E5,27-Jun-2005,9,1.99,.,1.76,0.240,.,0.051,0.204,12.225,17.457,.,0.127,9.982,0.32,80.71,5.76,638.09,53.13,.,.,.,2.87,7.71,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0243.1,E5 - Dup,27-Jun-2005,8,0.00,0.00,0.00,.,.,.,.,.,.,.,.,.,.,73.29,5.23,596.04,49.62,.,.,.,2.82,3.68,.,.,.,.,.,
2005-0248,E6,27-Jun-2005,0,1.53,.,0.47,0.109,.,0.036,0.126,14.756,21.036,.,0.165,6.764,0.22,87.96,6.28,603.73,50.27,.,.,.,0.25,4.50,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0249,E6,27-Jun-2005,1,1.74,.,0.45,0.133,.,0.031,0.134,15.089,23.459,.,0.151,5.579,0.18,117.24,8.37,807.42,67.22,.,.,.,1.74,3.56,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0250,E6,27-Jun-2005,2,1.72,.,0.57,0.102,.,0.042,0.150,13.381,17.173,.,0.143,4.534,0.15,53.11,3.79,462.49,38.51,.,.,.,1.77,6.50,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0249.1,E6 - Dup,27-Jun-2005,1,0.00,0.00,0.00,.,.,.,.,.,.,.,0.161,.,.,,,,,.,.,.,.,.,.,.,.,.,.,
2005-0250.1,E6 - Dup,27-Jun-2005,2,0.00,0.00,0.00,.,.,.,.,.,.,.,.,.,.,57.82,4.13,501.78,41.78,.,.,.,.,.,.,.,.,.,.,
2005-0884,I1,28-Jun-2005,1,0.53,.,0.16,0.212,.,0.025,0.084,13.463,15.581,.,0.066,1.350,0.04,29.67,2.12,274.10,22.82,.,.,.,2.62,3.46,.,.,.,.,.,
2005-0885,I1,28-Jun-2005,5,1.07,.,0.30,0.214,.,0.029,0.000,13.033,14.953,.,0.000,1.766,0.06,26.90,1.92,228.77,19.05,.,.,.,2.54,3.44,.,.,.,.,.,"NO3, TDP below detection limit"
,I1 - Dup,28-Jun-2005,5,.,.,.,.,.,.,.,.,.,.,0.008,.,.,,,,,.,.,.,.,.,.,.,.,.,.,duplicate
2005-0886,I2,28-Jun-2005,1,0.57,.,0.22,0.262,.,0.025,0.146,12.834,15.049,.,0.068,1.708,0.06,31.03,2.22,292.67,24.37,.,.,.,3.13,3.29,.,.,.,.,.,
2005-0887,I2,28-Jun-2005,5,1.36,.,0.37,0.219,.,0.034,0.178,16.731,21.162,.,0.063,3.568,0.12,62.07,4.43,479.73,39.94,.,.,.,3.42,5.80,.,.,.,.,.,
2005-0888,I3,28-Jun-2005,1,0.74,.,0.14,0.213,.,0.027,0.240,10.935,14.824,.,0.090,2.911,0.09,54.47,3.89,373.43,31.09,.,.,.,1.86,9.23,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0889,I3,28-Jun-2005,3,1.23,.,0.40,0.207,.,0.026,0.123,14.947,21.494,.,0.066,3.721,0.12,91.70,6.55,621.23,51.72,.,.,.,1.72,2.78,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0890,I4,28-Jun-2005,1,0.98,.,0.29,0.146,.,0.041,0.066,16.418,22.130,.,0.091,4.378,0.14,80.00,5.71,583.63,48.59,.,.,.,1.30,3.13,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0891,I4,28-Jun-2005,3,1.25,.,0.57,0.142,.,0.029,0.088,15.053,21.157,.,0.080,5.675,0.18,85.50,6.10,642.23,53.47,.,.,.,1.61,3.27,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,I4 - Dup,28-Jun-2005,1,.,.,.,.,.,.,.,.,.,.,0.095,.,.,,,,,.,.,.,.,.,.,.,.,.,.,
2005-0892,I5,28-Jun-2005,1,0.65,.,0.16,0.137,.,0.039,0.037,13.980,20.332,.,0.074,5.147,0.17,88.97,6.35,574.47,47.83,.,.,.,2.27,3.94,.,.,.,.,.,
,I5,28-Jun-2005,2,1.47,.,0.46,.,.,.,.,.,.,.,.,.,.,,,,,.,.,.,2.10,4.88,.,.,.,.,.,
2005-0893,I5,28-Jun-2005,5,1.47,.,0.46,0.157,.,0.037,0.153,14.225,17.178,.,0.065,8.832,0.29,41.37,2.95,361.60,30.11,.,.,.,.,.,.,.,.,.,.,
2005-0896,I6 Headwaters Lake,28-Jun-2005,1,0.47,.,0.11,0.113,.,0.040,0.169,13.291,15.360,.,0.046,1.050,0.03,28.97,2.07,250.97,20.89,.,.,.,7.23,3.75,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0897,I6 Headwaters Lake,28-Jun-2005,5,1.21,.,0.45,0.149,.,0.033,0.000,13.588,17.132,.,0.061,3.398,0.11,49.63,3.54,468.90,39.04,.,.,.,7.38,5.21,.,.,.,.,.,NO3 below detection limit; depth for Nuts rounded to nearest whole number
,I Swamp,29-Jun-2005,1,0.73,.,0.11,0.154,.,0.034,0.487,10.943,14.536,.,0.062,2.435,0.08,50.33,3.59,347.63,28.94,.,.,.,3.43,3.24,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,I Swamp,29-Jun-2005,3,1.16,.,0.25,0.211,.,0.032,1.353,12.199,14.267,.,0.057,3.750,0.12,28.97,2.07,267.60,22.28,.,.,.,3.81,2.58,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,I6,29-Jun-2005,1,0.45,.,0.15,0.116,.,0.031,0.136,12.795,15.108,.,0.058,2.042,0.07,32.40,2.31,272.90,22.72,.,.,.,3.31,3.90,.,.,.,.,.,
,I6,29-Jun-2005,5,0.95,.,0.48,0.130,.,0.043,0.202,12.444,17.120,.,0.054,4.654,0.15,65.50,4.68,473.47,39.42,.,.,.,3.40,3.48,.,.,.,.,.,
,I7,29-Jun-2005,1,0.47,.,0.15,0.168,.,0.035,0.137,13.238,15.551,.,0.054,1.450,0.05,32.40,2.31,287.60,23.94,.,.,.,3.10,3.60,.,.,.,.,.,
,I7,29-Jun-2005,5,1.15,.,0.36,0.200,.,0.032,0.141,11.938,17.747,.,0.053,3.650,0.12,81.37,5.81,554.70,46.18,.,.,.,3.29,4.67,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,I8,29-Jun-2005,1,0.98,.,0.33,0.566,.,0.036,0.169,12.414,16.255,.,0.079,2.641,0.09,53.80,3.84,477.57,39.76,.,.,.,7.80,5.19,.,.,.,.,.,
,I8,29-Jun-2005,3,2.13,.,0.51,0.125,.,0.033,0.160,12.008,16.734,.,0.073,3.550,0.11,66.20,4.73,563.87,46.95,.,.,.,7.61,4.56,.,.,.,.,.,
,I8 - Dup,29-Jun-2005,1,.,.,.,0.350,.,.,.,.,.,.,.,.,.,,,,,.,.,.,.,.,.,.,.,.,.,duplicate
2005-0299,Toolik Main,01-Jul-2005,0,1.14,.,0.11,0.254,.,0.038,0.174,8.263,11.023,.,0.071,2.217,0.07,38.67,2.76,313.57,26.11,.,.,.,9.55,6.21,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0300,Toolik Main,01-Jul-2005,1,1.05,.,0.03,0.166,.,0.034,0.302,12.374,15.201,.,0.047,3.309,0.11,39.60,2.83,300.50,25.02,.,.,.,10.07,5.35,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0301,Toolik Main,01-Jul-2005,3,1.06,.,0.08,0.224,.,0.032,0.140,10.684,13.561,.,0.038,2.512,0.08,40.30,2.88,325.80,27.13,.,.,.,10.09,3.96,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0302,Toolik Main,01-Jul-2005,5,2.26,.,0.21,0.273,.,0.038,0.135,10.811,13.884,.,0.051,4.647,0.15,43.03,3.07,355.17,29.57,.,.,.,9.96,3.66,.,.,.,.,.,
2005-0303,Toolik Main,01-Jul-2005,8,2.43,.,0.23,0.175,.,0.037,0.299,11.495,14.908,.,0.046,3.448,0.11,47.80,3.41,374.93,31.22,.,.,.,9.94,3.42,.,.,.,.,.,
2005-0304,Toolik Main,01-Jul-2005,12,1.33,.,0.11,0.265,.,0.048,0.674,11.476,14.451,.,0.056,7.278,0.23,41.67,2.97,326.27,27.16,.,.,.,9.89,3.52,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Toolik Main,01-Jul-2005,16,0.95,.,0.25,0.421,.,0.040,0.844,7.294,10.023,.,0.056,2.437,0.08,38.23,2.73,310.63,25.86,.,.,.,10.01,3.37,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Toolik Main,01-Jul-2005,18,0.60,.,0.32,0.521,.,0.047,1.039,11.661,14.636,.,0.000,2.374,0.08,41.67,2.97,313.50,26.10,.,.,.,10.10,3.76,.,.,.,.,.,TDP below detection limit; depth for Nuts rounded to nearest whole number
,Toolik Main - Dup,01-Jul-2005,3,.,.,.,.,.,.,.,.,.,.,0.035,.,.,,,,,.,.,.,.,.,.,.,.,.,.,duplicate
,Toolik Main - Dup,01-Jul-2005,12,.,.,.,.,.,.,.,.,.,.,0.046,.,.,,,,,.,.,.,.,.,.,.,.,.,.,duplicate
,N2 Fert,02-Jul-2005,1,0.76,.,0.14,0.149,.,0.027,4.332,8.682,10.583,.,0.049,2.456,0.08,26.63,1.90,217.73,18.13,.,.,.,22.42,2.88,.,.,.,.,.,
,N2 Fert,02-Jul-2005,8,4.87,.,2.58,1.643,.,0.032,0.124,17.456,25.989,.,0.101,2.866,0.09,119.51,8.53,722.49,60.15,.,.,.,24.79,3.13,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,N2 Ref,02-Jul-2005,1,0.82,.,0.12,0.178,.,0.029,0.161,8.920,11.171,.,0.061,0.000,0.00,31.53,2.25,216.77,18.05,.,.,.,29.46,2.73,.,.,.,.,.,"PP values were negative, so changed to zero. depth for Nuts rounded to nearest whole number"
,N2 Ref,02-Jul-2005,5,1.07,.,0.26,0.233,.,0.028,0.107,9.304,13.857,.,0.082,.,.,63.77,4.55,458.70,38.19,.,.,.,22.59,3.00,.,.,.,.,.,The PP sample was lost before analysis. depth for Nuts rounded to nearest whole number
,N2 Ref - Dup,02-Jul-2005,1,.,.,.,.,.,0.026,.,.,.,.,.,.,.,,,,,.,.,.,.,.,.,.,.,.,.,duplicate
,Green Cabin,04-Jul-2005,0,1.77,.,0.30,0.182,.,0.054,0.308,11.198,14.896,.,0.076,3.199,0.10,51.80,3.70,385.40,32.09,.,.,.,61.59,4.69,.,.,.,.,.,
,Green Cabin,04-Jul-2005,1,1.37,.,0.26,0.171,.,0.038,0.265,11.244,16.741,.,0.082,6.202,0.20,77.00,5.50,550.83,45.86,.,.,.,61.73,3.99,.,.,.,.,.,
,Green Cabin,04-Jul-2005,3,1.88,.,0.36,0.150,.,0.025,0.325,10.355,15.402,.,0.018,4.135,0.13,70.70,5.05,482.27,40.15,.,.,.,61.15,5.08,.,.,.,.,.,
,Green Cabin,04-Jul-2005,5,2.76,.,0.55,0.316,.,0.030,1.404,8.132,13.180,.,0.127,3.722,0.12,70.70,5.05,456.83,38.03,.,.,.,60.57,4.18,.,.,.,.,.,
,Green Cabin,04-Jul-2005,8,1.80,.,1.22,0.932,.,0.050,1.700,14.936,19.862,.,0.133,5.622,0.18,69.00,4.93,490.20,40.81,.,.,.,53.19,3.75,.,.,.,.,.,
,Green Cabin - Dup,04-Jul-2005,3,.,.,.,.,.,0.018,.,.,.,.,.,.,.,,,,,.,.,.,.,.,.,.,.,.,.,duplicate
,"Green Cabin, inlet",04-Jul-2005,0.01,0.72,.,0.14,0.218,.,0.041,7.504,14.841,15.912,.,0.066,0.659,0.02,15.00,1.07,187.29,15.59,.,.,.,88.46,1.53,.,.,.,.,.,
2005-0319,E5,06-Jul-2005,0,2.10,.,0.31,0.231,.,0.033,0.267,13.967,19.656,.,0.007,7.796,0.25,79.69,5.69,560.18,46.64,.,.,.,2.61,4.20,.,.,.,.,.,
2005-0320,E5,06-Jul-2005,1,2.39,.,0.33,0.085,.,0.035,0.220,12.605,17.051,.,0.115,7.435,0.24,62.27,4.45,486.18,40.48,.,.,.,2.78,4.15,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0321,E5,06-Jul-2005,3,2.39,.,0.27,0.077,.,0.031,0.254,13.329,18.952,.,0.121,8.641,0.28,78.76,5.62,516.27,42.98,.,.,.,2.74,2.96,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0322,E5,06-Jul-2005,5,1.93,.,0.82,0.109,.,0.039,0.099,12.049,16.105,.,0.113,13.117,0.42,56.80,4.06,440.71,36.69,.,.,.,2.90,4.02,.,.,.,.,.,
2005-0323,E5,06-Jul-2005,8,1.00,.,1.26,0.242,.,0.036,0.390,13.292,18.784,.,0.127,9.654,0.31,76.93,5.49,556.98,46.37,.,.,.,3.11,4.88,.,.,.,.,.,
2005-0324,E5,06-Jul-2005,9,1.05,.,1.32,0.402,.,0.060,0.413,13.071,17.386,.,0.000,10.193,0.33,60.44,4.32,499.64,41.60,.,.,.,2.06,11.65,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0328,E6,06-Jul-2005,0.01,3.05,.,0.68,0.119,.,0.036,0.265,16.330,23.606,.,0.000,11.071,0.36,101.91,7.28,929.78,77.41,.,.,.,1.82,6.30,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0329,E6,06-Jul-2005,1,2.56,.,0.69,0.109,.,0.040,0.248,16.812,22.909,.,0.007,6.455,0.21,85.40,6.10,768.53,63.99,.,.,.,1.62,6.18,.,.,.,.,.,TDP below detection limit; depth for Nuts rounded to nearest whole number
2005-0330,E6,06-Jul-2005,2,2.84,.,1.13,0.116,.,0.035,0.310,15.077,24.220,.,0.166,11.584,0.37,128.07,9.14,1154.00,96.08,.,.,.,1.77,7.89,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,E1,08-Jul-2005,0,2.59,.,0.08,0.001,.,0.035,0.099,10.932,13.754,.,0.056,.,.,39.53,2.82,446.13,37.14,.,.,.,11.17,4.03,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,E1,08-Jul-2005,1,3.05,.,0.00,0.033,.,0.026,0.106,10.606,13.626,.,0.067,.,.,42.30,3.02,454.53,37.84,.,.,.,11.68,3.56,.,.,.,.,.,Pheo below detection limit
,E1,08-Jul-2005,3,1.59,.,0.14,0.027,.,0.024,0.042,11.045,14.410,.,0.046,.,.,47.13,3.37,447.83,37.29,.,.,.,13.08,2.58,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,E1,08-Jul-2005,5,2.40,.,0.19,0.100,.,0.041,0.303,10.179,13.199,.,0.062,.,.,42.30,3.02,367.13,30.57,.,.,.,13.14,2.68,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,E1,08-Jul-2005,8,1.49,.,3.06,2.734,.,0.029,1.046,14.540,18.747,.,0.039,.,.,58.93,4.21,457.20,38.07,.,.,.,11.41,3.38,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,E1,08-Jul-2005,10,3.84,.,0.70,10.973,.,0.054,1.211,25.685,30.635,.,0.057,.,.,69.33,4.95,531.63,44.26,.,.,.,11.45,3.85,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,E1 - Dup,08-Jul-2005,10,.,.,.,9.188,.,0.048,.,.,.,.,.,.,.,,,,,.,.,.,11.44,3.53,.,.,.,.,.,duplicate
2005-0355,Toolik Main,08-Jul-2005,0,2.49,.,0.99,0.059,.,0.017,0.352,11.416,13.805,.,0.068,4.979,0.16,33.47,2.39,250.20,20.83,.,.,.,9.47,4.20,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0356,Toolik Main,08-Jul-2005,1,0.83,.,0.20,0.065,.,0.019,0.130,12.431,15.258,.,0.041,2.331,0.08,39.60,2.83,280.03,23.31,.,.,.,9.91,4.42,.,.,.,.,.,depth for Nuts rounded to nearest whole number
2005-0357,Toolik Main,08-Jul-2005,3,0.94,.,0.21,0.087,.,0.023,0.230,11.758,14.780,.,0.036,1.916,0.06,42.33,3.02,302.43,25.18,.,.,.,9.87,3.57,.,.,.,.,.,
2005-0358,Toolik Main,08-Jul-2005,5,0.74,.,0.23,0.070,.,0.028,0.134,11.999,14.923,.,0.044,2.105,0.07,40.97,2.92,303.63,25.28,.,.,.,9.75,3.54,.,.,.,.,.,
2005-0359,Toolik Main,08-Jul-2005,8,1.33,.,0.39,0.074,.,0.022,0.084,11.749,14.822,.,0.045,2.934,0.09,43.03,3.07,311.60,25.94,.,.,.,9.79,3.55,.,.,.,.,.,
2005-0360,Toolik Main,08-Jul-2005,12,0.90,.,0.31,0.294,.,0.035,0.566,11.745,14.377,.,0.051,2.950,0.10,36.87,2.63,262.00,21.81,.,.,.,9.81,5.07,.,.,.,.,.,depth for Nuts rounded to nearest whole number
,Toolik Main,08-Jul-2005,16,0.73,.,0.43,0.429,.,0.022,0.772,6.943,9.332,.,0.000,3.273,0.11,33.47,2.39,246.80,20.55,.,.,.,9.76,3.81,.,.,.,.,.,TDP below detection limit; depth for Nuts rounded to nearest whole number
